p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.3581328765878373,0.847,0.131,0,0,AC097522.2
0,1.3510687081988138,0.971,0.395,0,0,CDH13
0,1.3459775939861414,0.94,0.174,0,0,NCAM1
0,1.3382005317918668,0.86,0.124,0,0,LINC01505
0,1.3375604309442721,0.955,0.161,0,0,DPY19L2
0,1.321921147811767,0.842,0.11,0,0,KCND3
0,1.309746004095118,0.973,0.221,0,0,PDE4DIP
0,1.309142841315447,0.776,0.133,0,0,AL136171.2
0,1.307546877884477,0.739,0.079,0,0,AC022034.3
0,1.307039216268919,0.974,0.41,0,0,PLCL1
0,1.3068704357564018,0.82,0.16,0,0,PCDH7
0,1.2947256717839046,0.932,0.224,0,0,NLGN1
0,1.291378393532269,0.848,0.127,0,0,GALNT17
0,1.2896474725360767,0.981,0.337,0,0,MYH7
0,1.2882879734252701,0.956,0.313,0,0,PDE7A
0,1.2781759983762437,0.989,0.309,0,0,TNNT2
0,1.2758109752468225,0.85,0.107,0,0,MYOM3
0,1.274325360052384,0.883,0.152,0,0,HAND2-AS1
0,1.2689554028644134,0.956,0.356,0,0,FHIT
0,1.2585610063027843,0.94,0.213,0,0,C15orf41
0,1.2578972766709615,0.997,0.616,0,0,ABLIM1
0,1.2557739413881703,0.876,0.122,0,0,LRRTM3
0,1.2479037296919075,0.951,0.339,0,0,CPEB4
0,1.2436049234948734,0.927,0.177,0,0,CKMT2
0,1.2427027340296017,0.939,0.231,0,0,TACC2
0,1.2157241463117967,0.976,0.648,0,0,RABGAP1L
0,1.214556752731702,0.621,0.06,0,0,LINC01151
0,1.199325555695602,0.966,0.498,0,0,SNHG14
0,1.197964745402838,0.807,0.098,0,0,AC092353.1
0,1.1972505849902442,0.949,0.267,0,0,SLC25A36
0,1.190019178011581,0.691,0.094,0,0,CORIN
0,1.181747812081086,0.923,0.227,0,0,PLN
0,1.1793931453965056,0.927,0.255,0,0,TBC1D4
0,1.1781154970778265,0.931,0.208,0,0,CCDC141
0,1.175576821709405,0.876,0.161,0,0,PIP5K1B
0,1.1751206485443286,0.855,0.133,0,0,ANO5
0,1.1703536571866913,0.885,0.193,0,0,PPM1K
0,1.166025965874793,0.85,0.122,0,0,STK33
0,1.1636032285088305,0.967,0.336,0,0,DTNA
0,1.1564099046481253,0.839,0.162,0,0,SLC8A1-AS1
0,1.14748059147009,0.944,0.218,0,0,ANK3
0,1.1387613056822148,0.894,0.267,0,0,PHACTR1
0,1.134147826494404,0.921,0.252,0,0,SLC16A7
0,1.1333421811225852,0.912,0.154,0,0,OBSCN
0,1.1315051373266978,0.833,0.117,0,0,MLIP-AS1
0,1.125017496436604,0.944,0.325,0,0,ATP2A2
0,1.1247626004516271,0.967,0.544,0,0,PRKN
0,1.121511658167989,0.949,0.314,0,0,SOX6
0,1.1184536744286455,0.772,0.075,0,0,SLC5A1
0,1.0934615382284179,0.734,0.094,0,0,AC009264.1
0,1.0932278675214764,0.669,0.138,0,0,KCNMB2
0,1.0876696110115813,0.957,0.263,0,0,MYL3
0,1.0858015487630808,0.836,0.125,0,0,PPARGC1A
0,1.0849686276207795,0.786,0.095,0,0,ADRA1A
0,1.0818235980723188,0.698,0.075,0,0,MIR1-1HG
0,1.0817648832506315,0.863,0.154,0,0,KIF21A
0,1.0805142827485472,0.86,0.188,0,0,KLHL7
0,1.08050782725969,0.487,0.078,0,0,TTTY10
0,1.0800214745367462,0.778,0.109,0,0,FYB2
0,1.069692279184289,0.953,0.477,0,0,LARGE1
0,1.0689084134930376,0.989,0.529,0,0,SORBS1
0,1.0678856499551317,0.854,0.142,0,0,PPP1R9A
0,1.0672040459260561,0.954,0.423,0,0,PLEKHA5
0,1.0619174166932241,0.93,0.308,0,0,VWA8
0,1.061359289958182,0.954,0.369,0,0,FILIP1
0,1.0521986825210021,0.827,0.123,0,0,AC018464.1
0,1.051141138375531,0.829,0.127,0,0,ADPRHL1
0,1.0422066408583444,0.709,0.089,0,0,VWC2
0,1.0409212569007744,0.664,0.054,0,0,SLC27A6
0,1.0388086941095593,0.913,0.238,0,0,RGS6
0,1.0386743828687544,0.97,0.549,0,0,MAST4
0,1.025948087057145,0.873,0.204,0,0,PATJ
0,1.0245071230263338,0.767,0.115,0,0,NEK10
0,1.024305763072681,0.772,0.096,0,0,KLHL31
0,1.0230322417837336,0.719,0.096,0,0,MIR133A1HG
0,1.0193290711666374,0.74,0.113,0,0,GREB1L
0,1.0151340250511378,0.797,0.111,0,0,WNK2
0,1.0061728529427933,0.801,0.114,0,0,ACOT11
0,1.0053199951022183,0.953,0.345,0,0,PDE1C
0,1.0051840005853285,0.804,0.141,0,0,GAS2
0,1.004643436948499,0.928,0.265,0,0,ACACB
0,1.003524687426794,0.863,0.201,0,0,RNF150
0,0.9952799121312641,0.929,0.299,0,0,CERS6
0,0.994447494130762,0.759,0.155,0,0,DYNC1I1
0,0.9925848650362284,0.695,0.074,0,0,AC022034.1
0,0.9924894035071645,0.794,0.119,0,0,LRRC39
0,0.9914209734264494,0.97,0.596,0,0,EXOC6B
0,0.9870587170233893,0.807,0.176,0,0,GATA4
0,0.9845452044844037,0.917,0.347,0,0,PLCL2
0,0.9842443667027414,0.763,0.115,0,0,LRRC2
0,0.9825509945410293,0.721,0.098,0,0,SCN5A
0,0.980484532916239,0.969,0.353,0,0,SVIL
0,0.9792034150602007,0.838,0.233,0,0,DANT2
0,0.973024636805895,0.614,0.069,0,0,CHST9
0,0.9693243550371429,0.537,0.061,0,0,LINC02248
0,0.9691203878800031,0.809,0.137,0,0,BCO2
0,0.9681146229694888,0.795,0.125,0,0,POPDC2
0,0.9638122690533568,0.827,0.21,0,0,AIG1
0,0.9626645073129763,0.855,0.176,0,0,TMEM71
0,0.9614407230093219,0.763,0.134,0,0,DAPK2
0,0.951044242929429,0.726,0.122,0,0,DGKG
0,0.9488998582652051,0.839,0.192,0,0,NCKAP5
0,0.9474776494850843,0.916,0.272,0,0,SLC25A4
0,0.945300180815879,0.732,0.145,0,0,AC098617.1
0,0.9417544627217824,0.885,0.232,0,0,MICAL3
0,0.9414203581437721,0.718,0.116,0,0,GRAMD1B
0,0.9394166178146027,0.504,0.06,0,0,MYH6
0,0.9392369714278681,0.74,0.11,0,0,TMEM182
0,0.9356706786073561,0.751,0.106,0,0,FBXO40
0,0.9340935348655637,0.863,0.376,0,0,XPR1
0,0.9334731609209312,0.722,0.151,0,0,LMOD2
0,0.9317609865194407,0.837,0.213,0,0,ACSS3
0,0.9309399595488594,0.93,0.309,0,0,ACTC1
0,0.9285226206402363,0.844,0.249,0,0,TMEM65
0,0.9224273923970843,0.711,0.089,0,0,JPH2
0,0.9217234992038483,0.82,0.147,0,0,PRKAA2
0,0.9197581315927967,0.775,0.141,0,0,ADAM23
0,0.9180245048639297,0.755,0.115,0,0,PRDM16
0,0.913187644548822,0.686,0.098,0,0,CFAP61
0,0.9104052281334969,0.789,0.153,0,0,ATP1B1
0,0.910129712273771,0.958,0.55,0,0,CAMK2D
0,0.904662418359576,0.686,0.119,0,0,MYOCD
0,0.9040453557459298,0.476,0.141,0,0,TTTY14
0,0.9004949866181473,0.691,0.111,0,0,GCNT2
0,0.9000780074315851,0.649,0.066,0,0,AC108058.1
0,0.8965927779854628,0.863,0.266,0,0,PPM1L
0,0.8962042731095504,0.862,0.129,0,0,MYO18B
0,0.8928555213846623,0.716,0.087,0,0,MPP3
0,0.8918807827837842,0.591,0.095,0,0,AC002460.2
0,0.8909913422859764,0.722,0.093,0,0,AC010680.1
0,0.8850282357007305,0.702,0.101,0,0,ALPK2
0,0.8848922856272717,0.657,0.077,0,0,AC040174.1
0,0.88394056651134,0.843,0.226,0,0,PPP2R3A
0,0.8768694298392125,0.675,0.102,0,0,CADPS
0,0.8767071854042906,0.683,0.13,0,0,AC079142.1
0,0.8742306545200834,0.686,0.111,0,0,VLDLR-AS1
0,0.8742176317861221,0.701,0.127,0,0,VIPR2
0,0.8734313101666176,0.868,0.291,0,0,NIBAN1
0,0.8721388420059628,0.656,0.117,0,0,EYA4
0,0.8711064304502286,0.739,0.115,0,0,SRL
0,0.869571438996329,0.708,0.108,0,0,PEBP4
0,0.8689507492571225,0.839,0.342,0,0,PIK3R1
0,0.868344439965734,0.821,0.207,0,0,DGLUCY
0,0.8675965958194645,0.794,0.158,0,0,HOMER1
0,0.8663935783506636,0.731,0.111,0,0,CASZ1
0,0.861350711134222,0.898,0.301,0,0,MEIS2
0,0.8593599134543584,0.716,0.123,0,0,COL4A5
0,0.8591842431166379,0.741,0.117,0,0,NDRG4
0,0.853015641013367,0.766,0.173,0,0,EXOG
0,0.8514398597046461,0.893,0.325,0,0,VCL
0,0.84933478994374,0.906,0.364,0,0,SYNPO2
0,0.8485814102032812,0.769,0.164,0,0,RETREG1
0,0.8450683957021163,0.667,0.104,0,0,AL513487.1
0,0.8449151001107937,0.659,0.159,0,0,ENOX1
0,0.8434958306417026,0.668,0.166,0,0,CACNA2D3
0,0.8392906319017616,0.718,0.176,0,0,NUDT4
0,0.8386795078725207,0.709,0.093,0,0,ASB15
0,0.8327395256580513,0.654,0.077,0,0,SMYD1
0,0.8326763250544467,0.956,0.455,0,0,FRY
0,0.8211101193315669,0.78,0.153,0,0,HSPB7
0,0.8161003485472536,0.828,0.231,0,0,CHPT1
0,0.8144184149685585,0.421,0.063,0,0,ANKRD2
0,0.8132385660928843,0.614,0.111,0,0,CTNND2
0,0.8117436093453464,0.748,0.146,0,0,USP13
0,0.811362147161828,0.695,0.101,0,0,PPP1R3A
0,0.8075504060280279,0.68,0.158,0,0,TMEM164
0,0.8058341558751198,0.718,0.157,0,0,TBX20
0,0.8052644010247983,0.889,0.344,0,0,ADGRL2
0,0.7993722610331062,0.812,0.204,0,0,ANKRD1
0,0.7932652086192995,0.811,0.24,0,0,PPP1R13B
0,0.792548702195661,0.912,0.352,0,0,SAMD4A
0,0.790735867846154,0.65,0.138,0,0,DCP1B
0,0.7882889085176894,0.803,0.153,0,0,CASQ2
0,0.7858448936777116,0.706,0.123,0,0,RBM24
0,0.7856487526226139,0.45,0.082,0,0,COL23A1
0,0.7856289011090551,0.598,0.124,0,0,AL355612.1
0,0.784243093571004,0.638,0.072,0,0,TBX5
0,0.7833028971369587,0.677,0.164,0,0,SAMD12
0,0.7825806774281114,0.696,0.123,0,0,MLF1
0,0.7790498730152711,0.706,0.155,0,0,CADM1
0,0.7781256164028519,0.91,0.359,0,0,LRRFIP2
0,0.7774324435456785,0.789,0.211,0,0,TNIK
0,0.7771209279072716,0.807,0.237,0,0,NNT
0,0.7734661804894039,0.864,0.303,0,0,CRADD
0,0.7732414784679241,0.626,0.08,0,0,AC005400.1
0,0.7684721538943192,0.826,0.199,0,0,ROR1
0,0.7664833356093095,0.7,0.114,0,0,HACD1
0,0.7659106525216318,0.863,0.355,0,0,TRPM7
0,0.7605721016155922,0.633,0.087,0,0,FSD2
0,0.759873892091,0.91,0.469,0,0,PDZD2
0,0.7588451278852897,0.909,0.39,0,0,PCDH9
0,0.7558916849292403,0.688,0.146,0,0,RARB
0,0.7536904715499455,0.752,0.223,0,0,TENT5A
0,0.7513023433651267,0.956,0.409,0,0,MB
0,0.7506533390241219,0.945,0.497,0,0,ZFPM2
0,0.7493491553509231,0.714,0.216,0,0,TMEM161B-AS1
0,0.7489806715033425,0.824,0.233,0,0,MDH1
0,0.7486869667297837,0.639,0.137,0,0,FBXO32
0,0.7479390194173217,0.667,0.098,0,0,MYH7B
0,0.7465810973747488,0.878,0.238,0,0,SLC1A3
0,0.7464652791135356,0.758,0.206,0,0,ETFDH
0,0.7457968945630321,0.595,0.079,0,0,AC093879.1
0,0.7457189251734831,0.578,0.079,0,0,B4GALNT3
0,0.7437389747251406,0.681,0.194,0,0,CCDC93
0,0.7431811037214868,0.821,0.253,0,0,THRB
0,0.7430961145723886,0.584,0.153,0,0,AC073475.1
0,0.7427625189987439,0.957,0.469,0,0,MAGI1
0,0.7425360359012476,0.566,0.091,0,0,FAM189A2
0,0.7408777013010553,0.655,0.134,0,0,MEIS1
0,0.7402897895341327,0.771,0.12,0,0,MYPN
0,0.736470697199779,0.528,0.076,0,0,CSDC2
0,0.7356314310923678,0.646,0.1,0,0,RAMP1
0,0.7352960125498851,0.709,0.173,0,0,ABCC5
0,0.7348996516790518,0.736,0.14,0,0,NRAP
0,0.7346743305365606,0.494,0.084,0,0,LINC00923
0,0.7341673779061874,0.862,0.307,0,0,KLHL24
0,0.7317140739286538,0.691,0.183,0,0,MTFR1
0,0.7306738834823415,0.653,0.153,0,0,TRIQK
0,0.7277903983338838,0.595,0.167,0,0,IQCJ-SCHIP1
0,0.7265868167433214,0.598,0.088,0,0,GPD1L
0,0.7250075273109347,0.609,0.105,0,0,PKIA
0,0.7218787355383733,0.664,0.131,0,0,DOCK3
0,0.7211429494562043,0.714,0.171,0,0,NPAS2
0,0.7179502345257345,0.959,0.66,0,0,CBLB
0,0.7179461998338112,0.591,0.106,0,0,SLC4A4
0,0.7178885545824574,0.473,0.074,0,0,AGBL4
0,0.7166749368740357,0.884,0.355,0,0,GAB1
0,0.7149399568095494,0.855,0.332,0,0,SESN1
0,0.714869992136552,0.747,0.212,0,0,TOM1L2
0,0.7144271412290004,0.61,0.093,0,0,AC092640.1
0,0.7115621824472137,0.662,0.147,0,0,ADCY5
0,0.709415678481911,0.668,0.118,0,0,AQP7
0,0.7090964801489998,0.756,0.194,0,0,CKM
0,0.7086022460282109,0.552,0.081,0,0,LINC02334
0,0.7056533547882917,0.58,0.095,0,0,PPP1R1C
0,0.7056060208197799,0.621,0.094,0,0,MIR3936HG
0,0.7054977347393261,0.787,0.228,0,0,MPC1
0,0.7044078422908977,0.637,0.143,0,0,NCEH1
0,0.7035836573392893,0.454,0.058,0,0,FBN2
0,0.7023736783420731,0.798,0.258,0,0,HADHB
0,0.7019281157550497,0.634,0.116,0,0,TMEM38B
0,0.7012823419576832,0.713,0.178,0,0,SLC7A6
0,0.700546307111755,0.567,0.088,0,0,SYNDIG1
0,0.7001748341208334,0.662,0.103,0,0,TRIM54
0,0.6969583274059901,0.666,0.181,0,0,AL139383.1
0,0.6942711518125021,0.649,0.137,0,0,RILPL1
0,0.6894853935653206,0.644,0.128,0,0,ADGRA3
0,0.6893392199966338,0.606,0.092,0,0,RNF207
0,0.6887974153995869,0.837,0.243,0,0,DES
0,0.6886609905846073,0.751,0.204,0,0,SLC25A12
0,0.687859602784658,0.602,0.12,0,0,GJA1
0,0.6870113038049448,0.615,0.092,0,0,COBL
0,0.6868466471189925,0.825,0.297,0,0,MAGI2
0,0.6844168372454211,0.773,0.256,0,0,NHLRC2
0,0.6830997441854656,0.576,0.078,0,0,REEP1
0,0.6787342666999795,0.536,0.082,0,0,"NALCN"
0,0.6778348483758542,0.479,0.07,0,0,LINC01428
0,0.6777084348528204,0.626,0.14,0,0,PPARGC1B
0,0.6750039634879419,0.639,0.119,0,0,GOT1
0,0.6746722492846036,0.845,0.29,0,0,PLD1
0,0.6746088739434419,0.596,0.091,0,0,SLC41A1
0,0.6710451043231667,0.528,0.082,0,0,FAM160A1
0,0.6708857168306339,0.841,0.346,0,0,CHCHD3
0,0.6700831174291975,0.566,0.066,0,0,DSP
0,0.6698756256611043,0.599,0.113,0,0,SHROOM3
0,0.6680393799685213,0.557,0.072,0,0,LINC01954
0,0.6677656347042872,0.672,0.152,0,0,NEDD4L
0,0.6658861734699644,0.564,0.111,0,0,AC002066.1
0,0.665669393389292,0.631,0.146,0,0,COX10
0,0.6656486058552142,0.622,0.132,0,0,AC106791.1
0,0.6655473672905078,0.548,0.098,0,0,KCNN2
0,0.6631217087366528,0.773,0.233,0,0,LCLAT1
0,0.6622529376923927,0.536,0.061,0,0,AC007381.1
0,0.6621503995571608,0.445,0.054,0,0,AC008571.2
0,0.6601155977702011,0.888,0.352,0,0,MSI2
0,0.6577320201295093,0.824,0.263,0,0,PTGDS
0,0.6560085329266041,0.982,0.675,0,0,DST
0,0.6527257209265633,0.918,0.465,0,0,FBXL17
0,0.6513450156397724,0.628,0.128,0,0,USP28
0,0.649932494212866,0.863,0.346,0,0,WDPCP
0,0.6498436426920466,0.643,0.146,0,0,SMYD2
0,0.6488515748466004,0.825,0.304,0,0,CPED1
0,0.6476281684266638,0.496,0.076,0,0,AL158038.1
0,0.6472281182427848,0.498,0.055,0,0,AL009177.1
0,0.6469403940567576,0.836,0.318,0,0,MAP3K20
0,0.6466393367936085,0.706,0.178,0,0,FABP3
0,0.6462178223116328,0.68,0.182,0,0,NT5DC1
0,0.6438793818169102,0.558,0.136,0,0,DPH6-DT
0,0.6427311747274986,0.429,0.048,0,0,UGT2B4
0,0.6391378475234236,0.455,0.031,0,0,LINC00881
0,0.638313188944455,0.682,0.183,0,0,ACO2
0,0.6363255921854674,0.615,0.125,0,0,SLC38A1
0,0.6356129796573002,0.6,0.121,0,0,TUBE1
0,0.6345854169561004,0.548,0.07,0,0,AL133257.1
0,0.6321097936492138,0.832,0.31,0,0,PHLDB2
0,0.6297795113367455,0.516,0.091,0,0,C6
0,0.6295579916712167,0.481,0.085,0,0,SLCO5A1
0,0.6269648380365088,0.737,0.233,0,0,CPEB3
0,0.6238749223683564,0.736,0.21,0,0,CSRP3
0,0.6223428144377507,0.853,0.371,0,0,NBEA
0,0.6208992791846235,0.943,0.556,0,0,PTPRK
0,0.6203233745185492,0.827,0.3,0,0,TANC1
0,0.6134040993694292,0.586,0.112,0,0,SH3RF2
0,0.6127437175918962,0.85,0.298,0,0,INPP4B
0,0.6120687017795106,0.924,0.491,0,0,AAK1
0,0.6107042486390443,0.579,0.13,0,0,NNT-AS1
0,0.609319691704711,0.531,0.072,0,0,TRIM63
0,0.6091368994564694,0.607,0.121,0,0,ALPK3
0,0.6090969128720959,0.515,0.078,0,0,FRK
0,0.6048025737077312,0.747,0.238,0,0,LDHB
0,0.604547718529518,0.813,0.329,0,0,ST3GAL1
0,0.6035600901466716,0.388,0.035,0,0,SGPP2
0,0.6030746393793751,0.856,0.403,0,0,SCAPER
0,0.6021428662328283,1,0.998,0,0,MALAT1
0,0.6001357725405587,0.489,0.076,0,0,MAOB
0,0.5987080367436205,0.555,0.093,0,0,KBTBD12
0,0.597056458084857,0.566,0.104,0,0,CAP2
0,0.5969396229257167,0.44,0.04,0,0,FGF12-AS1
0,0.5966856604473207,0.37,0.02,0,0,LINC01880
0,0.592057398750043,0.879,0.385,0,0,PBX1
0,0.5919841238282194,0.517,0.116,0,0,AC093912.1
0,0.5916014760561767,0.57,0.115,0,0,LAPTM4B
0,0.5913163781634236,0.419,0.041,0,0,AQP4-AS1
0,0.5899465815444588,0.445,0.083,0,0,GABRB1
0,0.5896753426220319,0.669,0.199,0,0,NFYC
0,0.5883977000500933,0.561,0.088,0,0,PLIN5
0,0.5871638007004065,0.485,0.121,0,0,KCNMB2-AS1
0,0.5863974694106395,0.735,0.257,0,0,DECR1
0,0.5863681017140034,0.453,0.057,0,0,AC002057.2
0,0.5854716252481604,0.489,0.064,0,0,HSPB8
0,0.5853655241229122,0.78,0.291,0,0,KAT6B
0,0.5822402770724071,0.669,0.176,0,0,LINC02147
0,0.5815880422680191,0.583,0.136,0,0,ZNF827
0,0.5803743474908583,0.565,0.118,0,0,TXLNB
0,0.577540329058631,0.889,0.34,0,0,LTBP1
0,0.5771827423370199,0.538,0.1,0,0,LINC01128
0,0.5770314982223277,0.548,0.111,0,0,MRAS
0,0.576057866551904,0.723,0.247,0,0,TMEM117
0,0.5744705066283807,0.781,0.308,0,0,ZNF91
0,0.5742252913964987,0.66,0.2,0,0,TCAP
0,0.5740313863133111,0.652,0.187,0,0,ZNF680
0,0.5736631000158295,0.805,0.321,0,0,JAZF1
0,0.5728403466035792,0.668,0.223,0,0,ABHD2
0,0.5720364542059158,0.635,0.179,0,0,AFG3L2
0,0.5719658129718097,0.692,0.215,0,0,STXBP6
0,0.5719648551172274,0.99,0.675,0,0,TPM1
0,0.571045536820187,0.72,0.214,0,0,SEMA5A
0,0.5708729153130161,0.525,0.098,0,0,COQ8A
0,0.5701352471106603,0.58,0.135,0,0,MRPS25
0,0.5694819740693445,0.847,0.311,0,0,HDAC9
0,0.5680565301461977,0.766,0.244,0,0,HECW2
0,0.5666766001211009,0.549,0.137,0,0,EIF1B-AS1
0,0.5652021173191817,0.93,0.495,0,0,AOPEP
0,0.5649418101082265,0.539,0.103,0,0,DTWD2
0,0.5644294934263325,0.728,0.258,0,0,ZNF106
0,0.5611767257317982,0.505,0.089,0,0,ASB18
0,0.5608714145606097,0.713,0.25,0,0,TRAK2
0,0.5600439005067985,0.55,0.12,0,0,STRBP
0,0.5591371598610907,0.703,0.257,0,0,FOCAD
0,0.5561120048032722,0.737,0.241,0,0,CHCHD10
0,0.5551147847474971,0.598,0.155,0,0,GARNL3
0,0.5543259158312114,0.507,0.077,0,0,FN3K
0,0.5534578839285352,0.494,0.097,0,0,TMEM116
0,0.5524988337366628,0.719,0.256,0,0,BMPR1A
0,0.5524986906303199,0.74,0.247,0,0,BSG
0,0.5523919531836128,0.473,0.062,0,0,GCOM1
0,0.5517514198656076,0.431,0.061,0,0,CPNE4
0,0.5511343343819765,0.668,0.201,0,0,HSDL2
0,0.5509563404307531,0.795,0.316,0,0,LINC00472
0,0.5508949812979,0.754,0.296,0,0,ATP2C1
0,0.5508940265395448,0.557,0.14,0,0,AL592183.1
0,0.5492239221569271,0.463,0.061,0,0,MAPK4
0,0.5491825337711269,0.643,0.208,0,0,HIVEP3
0,0.547084460665881,0.519,0.089,0,0,ART3
0,0.5463411047831246,0.482,0.093,0,0,ATAD2
0,0.5458157359336386,0.493,0.089,0,0,PTPN3
0,0.5457307257638793,0.374,0.041,0,0,TOGARAM2
0,0.5437834529578598,0.714,0.228,0,0,ECHDC2
0,0.5400754715200033,0.602,0.177,0,0,GPI
0,0.539333626391174,0.519,0.103,0,0,TMEM67
0,0.5386893511993598,0.913,0.404,0,0,CACNA2D1
0,0.5380918199320552,0.48,0.076,0,0,MROH7
0,0.5370557905112052,0.621,0.194,0,0,GAREM1
0,0.5364877874231558,0.456,0.058,0,0,SPTB
0,0.5340793530377808,0.613,0.182,0,0,EPS15L1
0,0.5339873473593029,0.444,0.064,0,0,BCL11A
0,0.5322015983634931,0.653,0.223,0,0,"NAV3"
0,0.5314875194390243,0.641,0.194,0,0,COX6A2
0,0.5305207001524265,0.807,0.315,0,0,PALMD
0,0.5283571269035467,0.49,0.123,0,0,AC011346.1
0,0.5276463054271927,0.709,0.261,0,0,VPS13A
0,0.5272901873751417,0.567,0.132,0,0,SMPX
0,0.5270047536377425,0.735,0.29,0,0,VPS8
0,0.526867658739147,0.474,0.078,0,0,PLAG1
0,0.5215003333038555,0.688,0.245,0,0,DENND5B
0,0.5207878043657281,0.582,0.18,0,0,DCUN1D2
0,0.5197290488194349,0.346,0.045,0,0,FRMD5
0,0.5177994416838559,0.358,0.061,0,0,AC021134.1
0,0.517784591238714,0.535,0.155,0,0,CRPPA
0,0.5175622311972952,0.507,0.119,0,0,FAM227B
0,0.5167185082383295,0.451,0.073,0,0,PROX1
0,0.516493630428934,0.553,0.146,0,0,KCNQ1
0,0.5145037514957582,0.484,0.085,0,0,HSPB3
0,0.5142594605058973,0.457,0.067,0,0,PLPP7
0,0.513174907331118,0.665,0.239,0,0,CBR4
0,0.512476221203235,0.569,0.164,0,0,TOB2
0,0.5106998001157833,0.445,0.066,0,0,AC108472.1
0,0.5106100863216356,0.472,0.09,0,0,NDRG3
0,0.5097338447955582,0.675,0.236,0,0,MAST2
0,0.5048483115254241,0.457,0.074,0,0,GMPR
0,0.5047793070606791,0.529,0.143,0,0,FASTKD1
0,0.5036226374453996,0.551,0.149,0,0,CECR2
0,0.503474481798213,0.497,0.126,0,0,AC104123.1
